"Z","M","Y","x1","x2","x3","x4","x5","x6","x7","R_m","R_y"
0,1,21520.3507165283,"0","2","1","1","0","3","3",1,1
1,1,17596.4866250977,"1","1","0","0","0","2","3",1,1
0,NA,29742.5141222168,"0","0","0","0","0","1","3",0,1
0,0,962.132337673187,"1","1","1","0","0","1","1",1,1
0,NA,0,"0","1","0","0","0","1","0",0,1
1,1,17946.4004060669,"0","2","2","0","0","3","3",1,1
0,NA,NA,"0","0","1","0","1","1","5",0,0
1,NA,54518.0289754395,"0","0","2","0","0","1","5",0,1
1,1,27065.6884951172,"0","2","1","0","0","3","0",1,1
0,1,18322.2980246338,"1","2","1","1","0","2","0",1,1
0,0,26292.3820481689,"0","0","1","0","2","1","5",1,1
0,NA,NA,"0","1","3","0","0","1","0",0,0
1,NA,13431.8658836426,"1","1","1","1","0","1","2",0,1
0,0,10967.8764161865,"0","1","0","0","0","1","3",1,1
1,0,0,"1","1","1","0","0","1","0",1,1
1,1,33369.8499259277,"0","0","0","0","0","1","3",1,1
0,0,10241.7969314026,"0","0","0","0","0","2","3",1,1
1,1,0,"1","2","1","0","0","3","5",1,1
1,0,28337.185249585,"1","2","1","1","0","1","0",1,1
1,0,NA,"0","1","1","0","0","1","1",1,0
1,1,24364.6274663086,"1","1","0","0","1","1","4",1,1
0,0,963.468662145996,"1","0","1","0","0","1","0",1,1
1,NA,0,"1","1","0","0","2","1","5",0,1
0,NA,0,"0","1","1","0","1","1","2",0,1
1,0,NA,"0","0","3","0","2","1","2",1,0
0,NA,NA,"0","1","0","0","2","1","3",0,0
1,1,20129.0563852295,"0","1","1","0","0","3","4",1,1
1,1,691.037554353333,"1","0","1","1","0","1","1",1,1
1,1,32612.5468680908,"1","0","2","1","0","1","0",1,1
0,0,2676.30183929443,"1","0","0","0","2","1","0",1,1
1,1,19007.2155890259,"0","0","2","0","1","1","0",1,1
1,0,15434.3537170532,"1","0","3","0","1","1","3",1,1
1,1,734.071350579071,"0","1","0","0","0","3","0",1,1
0,NA,NA,"0","1","0","0","0","3","1",0,0
1,1,8589.37704345703,"1","1","1","0","0","3","0",1,1
1,NA,NA,"0","1","1","0","1","1","0",0,0
0,NA,NA,"0","2","0","0","1","2","3",0,0
0,1,39167.9506111816,"0","1","0","0","0","2","3",1,1
1,0,0,"0","0","1","0","1","1","0",1,1
0,1,11955.3860718018,"0","0","1","0","1","1","5",1,1
1,1,22763.171636499,"1","0","1","0","1","1","2",1,1
0,0,14959.6422288574,"0","1","1","0","0","1","0",1,1
1,NA,NA,"0","1","1","1","2","2","5",0,0
1,1,1547.32319597626,"1","0","0","0","1","1","2",1,1
1,1,21451.3147408447,"0","1","3","1","2","1","4",1,1
0,0,12293.9139689209,"1","2","0","1","0","1","2",1,1
0,0,9407.516259375,"0","0","1","0","0","1","2",1,1
1,1,33245.2676775146,"0","2","1","0","1","2","3",1,1
1,NA,NA,"1","1","3","0","0","3","2",0,0
1,1,20348.7438874878,"1","1","1","0","0","1","2",1,1
0,0,0,"1","2","1","0","0","1","0",1,1
1,0,0,"0","1","1","0","0","1","0",1,1
0,1,16069.6216458984,"0","1","1","0","0","1","2",1,1
1,1,24348.1040041992,"1","1","0","0","0","1","3",1,1
1,1,24348.1040041992,"0","0","0","0","1","1","2",1,1
0,0,0,"0","1","0","0","0","1","0",1,1
1,1,0,"1","1","0","0","0","1","2",1,1
0,NA,23101.3354825195,"0","2","0","0","0","3","0",0,1
1,1,18417.6298817139,"0","2","0","1","1","2","3",1,1
0,NA,NA,"0","0","1","0","0","1","5",0,0
0,0,16629.4480333008,"0","0","1","0","0","1","0",1,1
1,NA,NA,"0","2","0","0","0","1","0",0,0
1,1,47511.4470473145,"1","1","1","0","0","1","2",1,1
0,0,NA,"1","0","1","0","0","1","2",1,0
0,1,NA,"0","1","1","0","0","3","0",1,0
1,0,16927.1254346924,"0","1","1","0","0","1","1",1,1
1,NA,NA,"0","1","1","0","0","1","0",0,0
0,0,23277.4767773437,"1","2","1","0","0","1","3",1,1
1,0,NA,"1","0","1","0","0","1","5",1,0
1,1,3144.24649673767,"0","0","0","0","1","1","2",1,1
0,1,10601.2732450562,"1","0","1","0","0","1","2",1,1
0,1,13658.1496450928,"0","0","1","0","0","1","0",1,1
0,1,14702.776936853,"1","0","1","0","0","1","0",1,1
1,0,14352.5696861206,"1","2","1","1","0","1","1",1,1
1,1,0,"0","1","3","0","2","1","0",1,1
0,0,21202.5464901123,"0","1","0","0","0","1","5",1,1
1,1,NA,"0","1","1","1","1","1","5",1,0
1,1,NA,"1","0","1","0","0","1","0",1,0
1,1,17615.9051602295,"1","2","0","1","0","3","0",1,1
0,1,0,"0","0","0","0","2","1","0",1,1
1,0,9954.8776114563,"0","2","1","1","0","1","3",1,1
0,NA,0,"0","2","1","0","0","3","3",0,1
1,0,NA,"1","2","1","1","1","1","0",1,0
1,0,16358.7809945435,"1","0","1","1","0","1","0",1,1
0,NA,NA,"0","0","0","0","1","1","5",0,0
1,NA,NA,"0","2","1","0","0","2","3",0,0
0,0,13658.1496450928,"0","0","1","0","0","1","0",1,1
1,0,38587.8463299316,"0","2","1","0","0","1","3",1,1
1,NA,NA,"0","2","0","0","0","3","5",0,0
1,1,20160.6693938965,"0","0","1","0","1","1","2",1,1
0,1,3207.1078438385,"1","2","2","0","1","1","0",1,1
0,1,13658.1496450928,"0","0","1","0","0","1","3",1,1
1,0,20401.4148994995,"1","0","0","0","0","1","0",1,1
1,NA,NA,"0","1","0","0","0","1","2",0,0
0,NA,0,"0","0","1","1","2","1","5",0,1
0,NA,18708.1290374634,"0","2","3","0","2","1","5",0,1
1,0,37578.0181130859,"0","2","3","0","0","1","0",1,1
1,NA,NA,"1","0","2","0","1","1","2",0,0
1,0,5240.50318212891,"0","0","2","0","0","1","0",1,1
1,1,19082.8713510132,"1","1","1","1","0","3","3",1,1
0,NA,26081.3537613281,"0","2","0","0","0","2","2",0,1
1,1,NA,"1","2","1","0","0","3","0",1,0
0,0,0,"1","0","1","0","0","1","0",1,1
1,0,17452.205992749,"1","0","0","0","0","1","5",1,1
1,NA,0,"1","1","0","0","0","1","2",0,1
1,NA,NA,"0","1","1","0","0","1","5",0,0
0,NA,47680.5797393555,"1","1","1","0","0","1","0",0,1
0,0,5430.02645050049,"1","0","1","0","0","1","2",1,1
1,0,NA,"1","1","1","0","1","1","1",1,0
1,1,20092.3020834961,"0","1","1","0","0","1","2",1,1
0,NA,NA,"0","1","2","0","0","3","3",0,0
1,0,21548.7788972168,"0","0","3","0","2","1","0",1,1
1,1,5167.0072709198,"1","1","1","1","0","1","2",1,1
0,0,14312.3197508789,"1","1","1","0","1","1","1",1,1
1,0,NA,"1","2","2","1","0","1","0",1,0
1,1,17475.606801123,"0","2","2","0","0","1","0",1,1
1,0,9264.97849070434,"0","0","1","0","0","1","0",1,1
0,0,4475.29656255798,"0","0","1","0","1","1","2",1,1
1,NA,2019.03141739197,"0","1","1","0","0","1","2",0,1
0,1,11406.0193430054,"0","2","0","0","0","2","5",1,1
1,1,17603.4593180786,"1","0","0","0","0","2","1",1,1
0,NA,2672.58981827087,"1","2","1","1","2","1","5",0,1
1,NA,NA,"0","2","2","0","0","3","2",0,0
1,0,28621.8880679443,"0","1","1","0","0","1","0",1,1
1,NA,NA,"0","0","3","0","1","1","0",0,0
1,1,30719.3796171387,"1","0","1","0","0","1","5",1,1
0,0,NA,"0","1","1","1","0","1","2",1,0
1,0,NA,"1","0","1","0","0","1","2",1,0
1,0,15131.0137113281,"1","0","1","1","0","1","1",1,1
1,NA,12595.439910498,"0","0","1","0","2","1","5",0,1
1,1,17716.6940689819,"1","1","0","1","1","1","2",1,1
1,0,20299.5462201416,"0","0","1","0","1","1","1",1,1
0,0,2763.57225533752,"0","0","1","0","1","1","0",1,1
1,1,9821.76802327881,"0","0","3","0","2","1","2",1,1
1,1,0,"0","2","0","1","1","1","3",1,1
0,1,NA,"0","0","0","0","0","1","3",1,0
1,NA,19007.2155890259,"0","0","2","0","1","1","2",0,1
0,0,20890.0222428955,"0","1","1","0","0","1","5",1,1
0,1,0,"1","0","1","1","2","1","0",1,1
0,0,4083.12344525757,"0","0","1","0","0","1","0",1,1
1,0,2437.89325694275,"1","0","1","0","0","1","0",1,1
1,NA,3637.69175728455,"0","2","0","0","0","1","1",0,1
0,1,2375.63556600037,"1","1","2","0","0","3","0",1,1
1,0,38639.0438017822,"1","0","0","0","0","1","2",1,1
1,0,8981.7634526001,"0","2","0","0","0","1","5",1,1
